Item,RefDes,Qty,Required,Category,Description,Manufacturer,MPN,Mouser,DigiKey,LCSC,UnitUSD,ExtUSD,Lifecycle,RoHS,Notes
1,U1,1,Required,MCU Board,"MR60BHA2 60GHz mmWave kit (radar module + XIAO ESP32-C6, onboard BH1750 lux + WS2812 LED)",Seeed Studio,MR60BHA2,,,,24.90,24.90,Active,Yes,"The whole Sense front end in one kit: radar IQ never leaves the module's own DSP (privacy chokepoint); UART 115200 GPIO16/17, I2C GPIO22/23. Ships ESPHome-preflashed — reflash with firmware/projects/canary-sense. Seeed list $24.90 (2026-07)"
2,CBL1,1,Required,Cable,"USB-C cable, data-capable (not charge-only)",Generic,USB-C-DATA-1M,,,,3.50,3.50,Active,Yes,"Required for flashing and 5V power"
3,PSU1,1,Required,Power,"USB-C PSU 5V/2A wall adapter (UL/ETL listed)",Generic,5V2A-USBC-UL,,,,8.00,8.00,Active,Yes,"Always-on appliance — use a listed adapter (same guidance as the Display BOM)"
4,SW2,1,Optional,Sensor,"Reed switch, SPST normally-closed (tamper), hermetic glass",Littelfuse,59140-1-S-02-A,,,,1.80,1.80,Active,Yes,"Enclosure-level tamper for the printed radome; wire to a free GPIO. FIRMWARE: no FEATURE_TAMPER flag in canary-sense yet — the P0 tamper signal is BH1750 lights-out corroboration (design doc §tamper enrichment)"
5,MAG1,1,Optional,Mechanical,"Magnet, Ni-coated neodymium disc for tamper",Generic,NEO-6X3-NI,,,,0.40,0.40,Active,Yes,"Lid-mounted; separates from SW2 when the radome opens. Ni/epoxy coat for corrosion"
6,SCR3,4,Optional,Mechanical,"M2 self-tapping screw, FLAT (countersunk) head, 8-10mm (printed-enclosure lid)",Generic,M2X8-ST-CSK,,,,0.05,0.20,Active,Yes,"For the printed Sense enclosure posts (canary_sense_enclosure.scad); max ~0.3 N-m or the printed posts strip"
7,INS1,4,Optional,Mechanical,"M2 brass heat-set insert, short series 3.5mm OD x 4.0mm",Generic,M2-HSI-3.5X4,,,,0.10,0.40,Active,Yes,"Service-grade lid threads: set screw_insert=true (posts auto-fatten), install at 220-240C (PETG) / 240-260C (ASA), use M2 machine screws instead of SCR3 self-tappers"
8,SCR4,2,Optional,Mechanical,"#6 / M3.5 pan-head screw + wall anchor (keyhole mount)",Generic,M3.5-PAN-ANCHOR,,,,0.30,0.60,Active,Yes,"For the printed enclosure's keyhole mounts (opt_mount); head <= 7mm dia, <= 2.5mm tall"
9,FIL1,1,Optional,Material,"TPU filament 90-95A (printed gasket), ~5g per gasket",Generic,TPU-95A,,,,0.20,0.20,Active,Yes,"Printed perimeter gasket for the sealed radome preset (opt_seal); 2 perimeters, 100% infill, slow. Radar sees through plastic — no window, no vent needed"
"# SUMMARY (subtotals are indicative; verify live pricing)",,,,,,,,,,,,,,,
"# Required-only (U1+CBL1+PSU1)",,,,,,,,,,,,36.40,,,"Shelf/desk presence witness — kit + cable + wall power"
"# Wall-mounted sealed build (req + SW2+MAG1+SCR3+SCR4+FIL1)",,,,,,,,,,,,39.60,,,"Printed radome + tamper + keyhole mount; INS1 optional service threads extra"
